"wavenumber k","h h N=6.64","dot(h) dot(h) N=6.64","h h N=63.2","dot(h) dot(h) N=63.2"
3.9727856832955631e-04,2.1583832848121414e-15,4.6270458887432476e-15,5.5540233552602289e-16,2.2752175782449545e-113
4.1720021591357332e-04,2.3231865284824853e-15,5.6273490388799646e-15,5.5540211908407562e-16,2.7670710753168916e-113
4.3812084022097744e-04,2.5049359574593827e-15,6.8438943626264801e-15,5.5540191587747115e-16,3.3652528846412501e-113
4.6009053522565613e-04,2.7053745812628444e-15,8.3234230055936850e-15,5.5540172577081285e-16,4.0927489523336819e-113
4.8316190687816373e-04,2.9264246502325253e-15,1.0122777420575941e-14,5.5540154861215290e-16,4.9775143305666946e-113
5.0739019906951047e-04,3.1702060017884792e-15,1.2311084191982238e-14,5.5540138422088149e-16,6.0535472678843390e-113
5.3283342591144297e-04,3.4390562385897827e-15,1.4972408894081514e-14,5.5540123238079778e-16,7.3621958869528033e-113
5.5955251064995510e-04,3.7355492833959774e-15,1.8208997040848328e-14,5.5540154466738403e-16,8.9537540837635111e-113
5.8761143154465931e-04,4.0625339914375312e-15,2.2145161816331591e-14,5.5540141695009922e-16,1.0889366421674115e-112
6.1707737506331846e-04,4.4231402489172508e-15,2.6932116340346884e-14,5.5540130080669673e-16,1.3243417501434654e-112
6.4802089675836257e-04,4.8208218254807403e-15,3.2753758283670246e-14,5.5540119578579953e-16,1.6106365038925382e-112
6.8051609021060487e-04,5.2593856450113159e-15,3.9833753501965067e-14,5.5540110136522804e-16,1.9588221919699869e-112
7.1464076444468757e-04,5.7430276840927242e-15,4.8444148037154299e-14,5.5540101695169939e-16,2.3822783116734694e-112
7.5047663024107670e-04,6.2763727792651242e-15,5.8915847474508051e-14,5.5540094188283294e-16,2.8972767925381679e-112
7.8810949579072613e-04,6.8645189803088043e-15,7.1651365715752624e-14,5.5540087543212967e-16,3.5236071883405267e-112
8.2762947216089922e-04,7.5130872258556913e-15,8.7140328491742112e-14,5.5540081681818186e-16,4.2853370808720912e-112
8.6913118906413326e-04,8.2282772291201229e-15,1.0597831612028356e-13,5.5540076521473797e-16,5.2117370738837061e-112
9.1271402144700272e-04,9.0169304798417429e-15,1.2888974891481921e-13,5.5540071976479499e-16,6.3384053847009082e-112
9.5848232744123621e-04,9.8866010960738621e-15,1.5675566354874362e-13,5.5540067959653698e-16,7.7086358411495693e-112
1.0065456982469656e-03,1.0845645263012413e-14,1.9064722806105962e-13,5.5540109872259913e-16,9.3750892150015156e-112
1.0570192205464383e-03,1.1903264637984531e-14,2.3186731463773769e-13,5.5540106631699186e-16,1.1401787201431245e-111
1.1100237520765424e-03,1.3069662333949641e-14,2.8199921281657118e-13,5.5540103665496926e-16,1.3866614992642145e-111
1.1656862110199938e-03,1.4356096741484277e-14,3.4296758451256550e-13,5.5540100898025709e-16,1.6864287031954415e-111
1.2241398799081294e-03,1.5774984907126513e-14,4.1711203334338202e-13,5.5540098260673350e-16,2.0509993177111895e-111
1.2855247247629896e-03,1.7339992605146831e-14,5.0727730129209599e-13,5.5540095693067695e-16,2.4943824677521885e-111
1.3499877302428740e-03,1.9066123579747279e-14,6.1692389244801780e-13,5.5540093143980767e-16,3.0336157685027297e-111
1.4176832515938674e-03,2.0969820353003819e-14,7.5026365065286902e-13,5.5540090571845620e-16,3.6894200402706514e-111
1.4887733842500752e-03,2.3069101883273745e-14,9.1242508643810222e-13,5.5540087944816098e-16,4.4869954730015635e-111
1.5634283519675666e-03,2.5383773119408970e-14,1.1096530778907826e-12,5.5540085240498284e-16,5.4569900221504793e-111
1.6418269144214104e-03,2.7935735623975051e-14,1.3495473482347353e-12,5.5540082445212689e-16,6.6366771156085092e-111
1.7241567952417753e-03,3.0749391801794807e-14,1.6413452124296928e-12,5.5540079553042057e-16,8.0713878019451370e-111
1.8106151315140256e-03,3.3852090198913749e-14,1.9962570883842542e-12,5.5540122252318836e-16,9.8162610082264688e-111
1.9014089458191290e-03,3.7274268522588811e-14,2.4278873901360632e-12,5.5540119144468081e-16,1.1938331185853040e-110
1.9967556419446648e-03,4.1049627767240730e-14,2.9527459001848567e-12,5.5540115954640261e-16,1.4519148558401056e-110
2.0968835254534012e-03,4.5214646592830214e-14,3.5909310910790600e-12,5.5540112694372153e-16,1.7657884546150679e-110
2.2020323503559353e-03,4.9808317312336170e-14,4.3669834117958641e-12,5.5540109376161412e-16,2.1475149440451296e-110
2.3124538931963879e-03,5.4872654844256977e-14,5.3108903328813381e-12,5.5540106012369814e-16,2.6117627263613797e-110
2.4284125559257898e-03,6.0454572156417190e-14,6.4591647708972476e-12,5.5540102614393521e-16,3.1763711347442210e-110
2.5501859990067263e-03,6.6608468845147485e-14,7.8559824392911744e-12,5.5540099192044512e-16,3.8630360714049308e-110
2.6780658062652007e-03,7.3397194766536326e-14,9.5546227680071515e-12,5.5540095753221297e-16,4.6981436083272598e-110
2.8123581830816744e-03,8.0889193895737923e-14,1.1619736400556483e-11,5.5540092303769622e-16,5.7137838673179965e-110
2.9533846895931043e-03,8.9153845153179344e-14,1.4130700711348825e-11,5.5540088847566953e-16,6.9489843423235873e-110
3.1014830106616061e-03,9.8262485733274576e-14,1.7185223188954237e-11,5.5540085386698251e-16,8.4512092612771877e-110
3.2570077644534152e-03,1.0829956244620661e-13,2.0901714850722413e-11,5.5540127726983946e-16,1.0278192233782126e-109
3.4203313515642712e-03,1.1937131088029229e-13,2.5421507905263957e-11,5.5540124223601942e-16,1.2500122121861016e-109
3.5918448467244348e-03,1.3159455328613010e-13,3.0915370762847149e-11,5.5540120714068923e-16,1.5202386851254487e-109
3.7719589352185169e-03,1.4507463703181704e-13,3.7596117375542912e-11,5.5540117196695751e-16,1.8488824494877052e-109
3.9611048962623387e-03,1.5992161543390930e-13,4.5726215654616312e-11,5.5540113669668786e-16,2.2485721303966405e-109
4.1597356356915111e-03,1.7629506662770009e-13,5.5614938266046562e-11,5.5540110131267994e-16,2.7346663437825212e-109
4.3683267704344780e-03,1.9437827151318761e-13,6.7632436798338557e-11,5.5540106579996483e-16,3.3258439446289449e-109
4.5873777673667683e-03,2.1430964675228929e-13,8.2250270171148271e-11,5.5540103014789093e-16,4.0448217629578770e-109
4.8174131392734300e-03,2.3626052051581229e-13,1.0004134556051825e-10,5.5540099434989098e-16,4.9192275052971231e-109
5.0589837007833267e-03,2.6050620465450633e-13,1.2166273523141541e-10,5.5540095840389718e-16,5.9826614813339841e-109
5.3126678872826303e-03,2.8724536035115114e-13,1.4795475514821443e-10,5.5540092231190079e-16,7.2759876118353431e-109
5.5790731399656132e-03,3.1668349435215989e-13,1.7995961841003577e-10,5.5540088607959860e-16,8.8489037663674265e-109
5.8588373603391947e-03,3.4921461035239272e-13,2.1884468778189859e-10,5.5540130841075537e-16,1.0761860340423585e-108
6.1526304376640422e-03,3.8504917290442096e-13,2.6615843778105933e-10,5.5540127155480311e-16,1.3088349166694055e-108
6.4611558529896508e-03,4.2455927035727670e-13,3.2371258538998609e-10,5.5540123458725209e-16,1.5917776151246493e-108
6.7851523636242089e-03,4.6818969465474775e-13,3.9365602729081305e-10,5.5540119752085974e-16,1.9358865990313990e-108
7.1253957720726928e-03,5.1620845713509093e-13,4.7881026171880298e-10,5.5540116036858224e-16,2.3543847382935903e-108
7.4827007836788693e-03,5.6928710155610216e-13,5.8224939048478368e-10,5.5540112314237851e-16,2.8633534102141919e-108
7.8579229574192895e-03,6.2768160738382140e-13,7.0820447034916468e-10,5.5540108585349121e-16,3.4823504491156904e-108
8.2519607545204089e-03,6.9223003686001453e-13,8.6120568162287507e-10,5.5540104851213982e-16,4.2351616836180169e-108
8.6657576898041752e-03,7.6327050218938736e-13,1.0474772691335689e-09,5.5540101112707588e-16,5.1507149400213663e-108
9.1003045909135178e-03,8.4171383621372915e-13,1.2738636727126315e-09,5.5540097370548057e-16,6.2641916352297720e-108
9.5566419708272583e-03,9.2822436403091255e-13,1.5491962785939658e-09,5.5540093625379239e-16,7.6183786708696017e-108
1.0035862519345538e-02,1.0234891476981997e-12,1.8842882942785350e-09,5.5540089877674460e-16,9.2653125815810617e-108
1.0539113719511458e-02,1.1287434241965972e-12,2.2914400901320249e-09,5.5540132031681913e-16,1.1268288423793101e-107
1.1067600595233935e-02,1.2447692931798322e-12,2.7867176754253877e-09,5.5540128241185631e-16,1.3704256369532077e-107
1.1622588596690910e-02,1.3725678530106192e-12,3.3894297559075431e-09,5.5540124448986001e-16,1.6666829563607878e-107
1.2205406630421892e-02,1.5135698402701757e-12,4.1222730557655364e-09,5.5540120655208757e-16,2.0269849031577856e-107
1.2817450241365404e-02,1.6691847567156832e-12,5.0132063163651451e-09,5.5540116859997581e-16,2.4651765843635791e-107
1.3460184954460571e-02,1.8408151584412140e-12,6.0966712104156872e-09,5.5540113063595433e-16,2.9980961291202265e-107
1.4135149783814298e-02,2.0300503663733948e-12,7.4144782138106932e-09,5.5540109266034191e-16,3.6462217173197541e-107
1.4843960917836636e-02,2.2387067295513153e-12,9.0172816882854709e-09,5.5540105467448475e-16,4.4344584828582342e-107
1.5588315589168298e-02,2.4687951936253239e-12,1.0966650627327818e-08,5.5540101667791200e-16,5.3930955273829883e-107
1.6369996138666864e-02,2.7225024879993776e-12,1.3337602490636205e-08,5.5540097867483845e-16,6.5589698221365694e-107
1.7190874283182618e-02,3.0022073641520983e-12,1.6221584403721295e-08,5.5540094066657636e-16,7.9768817203467922e-107
1.8052915597343351e-02,3.3106129575819095e-12,1.9729441258668188e-08,5.5540090264907356e-16,9.7013164724427476e-107
1.8958184220079482e-02,3.6509787167967508e-12,2.3994090957924008e-08,5.5540132384457572e-16,1.1798547654808152e-106
1.9908847797159228e-02,4.0266361716802590e-12,2.9178370618452554e-08,5.5540128542327651e-16,1.4349146526877633e-106
2.0907182671568648e-02,4.4401795101813508e-12,3.5488927291011550e-08,5.5540124699430593e-16,1.7451131450409031e-106
