"wavenumber k","cal(P)_zeta N=6.13","cal(P)_zeta N=63.2"
1.4176832515938674e-03,1.0025284641203310e-09,5.6322566126197324e-10
1.4887733842500752e-03,1.1051645400036744e-09,5.8976019513038536e-10
1.5634283519675666e-03,1.2183538643194789e-09,6.1749765178008199e-10
1.6418269144214104e-03,1.3431771754751140e-09,6.4649186157129412e-10
1.7241567952417753e-03,1.4808287528415579e-09,6.7679276807914551e-10
1.8106151315140256e-03,1.6326309904102686e-09,7.0844668662040514e-10
1.9014089458191290e-03,1.8000428093889741e-09,7.4149689965191228e-10
1.9967556419446648e-03,1.9846674282329129e-09,7.7598447894330339e-10
2.0968835254534012e-03,2.1882695656133693e-09,8.1194924962476590e-10
2.2020323503559353e-03,2.4128020074367950e-09,8.4943077671162463e-10
2.3124538931963879e-03,2.6604207584342301e-09,8.8846928088941244e-10
2.4284125559257898e-03,2.9334933446396560e-09,9.2910641581436889e-10
2.5501859990067263e-03,3.2346351427673945e-09,9.7138586014410361e-10
2.6780658062652007e-03,3.5667461072232127e-09,1.0153537178911713e-09
2.8123581830816744e-03,3.9329986428187876e-09,1.0610587303315882e-09
2.9533846895931043e-03,4.3368850483896613e-09,1.1085523422801303e-09
3.1014830106616061e-03,4.7823163162207605e-09,1.1578886499278115e-09
3.2570077644534152e-03,5.2735419025395704e-09,1.2091242213549988e-09
3.4203313515642712e-03,5.8152290612811584e-09,1.2623181768283029e-09
3.5918448467244348e-03,6.4126630953060050e-09,1.3175316705605756e-09
3.7719589352185169e-03,7.0714695773541044e-09,1.3748279588071157e-09
3.9611048962623387e-03,7.7980152034085082e-09,1.4342721965491571e-09
4.1597356356915111e-03,8.5992881885810618e-09,1.4959313125937196e-09
4.3683267704344780e-03,9.4828599543679641e-09,1.5598738966738684e-09
4.5873777673667683e-03,1.0457375292025462e-08,1.6261701253319222e-09
4.8174131392734300e-03,1.1531949332053931e-08,1.6948916645275235e-09
5.0589837007833267e-03,1.2717119383459012e-08,1.7661116445524428e-09
5.3126678872826303e-03,1.4024046898390836e-08,1.8399045910963952e-09
5.5790731399656132e-03,1.5465318771409944e-08,1.9163464137554565e-09
5.8588373603391947e-03,1.7054920897557871e-08,1.9955141935226935e-09
6.1526304376640422e-03,1.8807686296606759e-08,2.0774869130879055e-09
6.4611558529896508e-03,2.0740788774234587e-08,2.1623443639712368e-09
6.7851523636242089e-03,2.2872768416538038e-08,2.2501678637247706e-09
7.1253957720726928e-03,2.5223731957162247e-08,2.3410400832306138e-09
7.4827007836788693e-03,2.7816279789013439e-08,2.4350450352711222e-09
7.8579229574192895e-03,3.0675446505248673e-08,2.5322680818969978e-09
8.2519607545204089e-03,3.3828648755763676e-08,2.6327959171034144e-09
8.6657576898041752e-03,3.7306034221700538e-08,2.7367165575295114e-09
9.1003045909135178e-03,4.1140875805874651e-08,2.8441193291655348e-09
9.5566419708272583e-03,4.5369899917640978e-08,2.9550948336495024e-09
1.0035862519345538e-02,5.0033640695896820e-08,3.0697349336920943e-09
1.0539113719511458e-02,5.5176896871950206e-08,3.1881323667607122e-09
1.1067600595233935e-02,6.0849179183712094e-08,3.3103821904116079e-09
1.1622588596690910e-02,6.7104680154088192e-08,3.4365795726480009e-09
1.2205406630421892e-02,7.4002514500789279e-08,3.5668212300480230e-09
1.2817450241365404e-02,8.1609905784672317e-08,3.7012050555687813e-09
1.3460184954460571e-02,8.9999782321169114e-08,3.8398301057403692e-09
1.4135149783814298e-02,9.9251309609639684e-08,3.9827966186975919e-09
1.4843960917836636e-02,1.0945462342628834e-07,4.1302060134169001e-09
1.5588315589168298e-02,1.2070715039807662e-07,4.2821608906381029e-09
1.6369996138666864e-02,1.3311542833534196e-07,4.4387650662407571e-09
1.7190874283182618e-02,1.4679960175080460e-07,4.6001235672076864e-09
1.8052915597343351e-02,1.6189089535092548e-07,4.7663426590657700e-09
1.8958184220079482e-02,1.7853371427731096e-07,4.9375294410723429e-09
1.9908847797159228e-02,1.9688787276498134e-07,5.1137936325735146e-09
2.0907182671568648e-02,2.1712948030304095e-07,5.2952449019741293e-09
